date,print_date,core_inflation,labor_part,u6_unemployment,balance_sheet,bonds,mbs,red_line,green_line,category,direction,timeline_color,balance_date,balance_dots,timeline_date,timeline_opacity,amount,date_info,info,info2,info3,effect,effect2,effect3,balance_color,,,
1/2007,"""2007 Jan""",2.7,66.4,8.4,0.888608,0.467864,0,0.888608,,,,,,,,0,7,,,,,,,,red,8.89E-07,4.68E-07,0
2/2007,"""2007 Feb""",2.7,66.3,8.2,0.903244,0.466675,0,0.903244,,,,,,,,0,7,,,,,,,,red,9.03E-07,4.67E-07,0
3/2007,"""2007 Mar""",2.5,66.2,8,0.903279,0.468553,0,0.903279,,,,,,,,0,7,,,,,,,,red,9.03E-07,4.69E-07,0
4/2007,"""2007 Apr",2.3,65.9,8.2,0.901653,0.471714,0,0.901653,,,,,,,,0,7,,,,,,,,red,9.02E-07,4.72E-07,0
5/2007,"""2007 May",2.2,66,8.2,0.905512,0.474672,0,0.905512,,,,,,,,0,7,,,,,,,,red,9.06E-07,4.75E-07,0
6/2007,"""2007 Jun""",2.2,66,8.3,0.899388,0.474672,0,0.899388,,,,,,,,0,7,,,,,,,,red,8.99E-07,4.75E-07,0
7/2007,"""2007 Jul""",2.2,66,8.4,0.901987,0.474672,0,0.901987,,,,,,,,0,7,,,,,,,,red,9.02E-07,4.75E-07,0
8/2007,"""2007 Aug""",2.1,65.8,8.4,0.901862,0.472142,0,0.901862,,,,,,,,0,7,,,,,,,,red,9.02E-07,4.72E-07,0
9/2007,"""2007 Sep""",2.1,66,8.4,0.911422,0.472142,0,0.911422,,,,,,,,0,7,,,,,,,,red,9.11E-07,4.72E-07,0
10/2007,"""2007 Oct""",2.2,65.8,8.4,0.91078,0.472142,0,0.91078,,,,,,,,0,7,,,,,,,,red,9.11E-07,4.72E-07,0
11/2007,"""2007 Nov""",2.3,66,8.4,0.921611,0.470984,0,0.921611,,,,,,,,0,7,,,,,,,,red,9.22E-07,4.71E-07,0
12/2007,"""2007 Dec""",2.4,66,8.8,0.92556,0.470984,0,0.92556,,,,,,,,0,7,,,,,,,,red,9.26E-07,4.71E-07,0
1/2008,"""2008 Jan""",2.5,66.2,9.2,0.916745,0.470984,0,0.916745,,,,,,,,0,7,,,,,,,,red,9.17E-07,4.71E-07,0
2/2008,"""2008 Feb""",2.3,66,9,0.91864,0.47001,0,0.91864,,,,,,,,0,7,,,,,,,,red,9.19E-07,4.70E-07,0
3/2008,"""2008 Mar""",2.4,66.1,9.1,0.921456,0.47001,0,0.921456,,'rate','down',red,,,3/31/2008,1,0,2008 Mar,Rate Decrease: From 3%->2.25%,,,GOAL: Stimulate spending by making,borrowing money cheaper.,,red,9.21E-07,4.70E-07,0
4/2008,"""2008 Apr",2.3,65.9,9.2,0.920457,0.452909,0,0.920457,,'rate','down',red,,,4/30/2008,1,0,2008 Apr,Rate Decrease: 2.25%->2.0%,,,GOAL: Stimulate spending by making,borrowing money cheaper.,,red,9.20E-07,4.53E-07,0
5/2008,"""2008 May",2.3,66.1,9.7,0.930033,0.434396,0,0.930033,,,,,,,,0,7,,,,,,,,red,9.30E-07,4.34E-07,0
6/2008,"""2008 Jun""",2.4,66.1,10.1,0.92667,0.412392,0,0.92667,,,,,,,,0,7,,,,,,,,red,9.27E-07,4.12E-07,0
7/2008,"""2008 Jul""",2.5,66.1,10.5,0.944941,0.412392,0,0.944941,,,,,,,,0,7,,,,,,,,red,9.45E-07,4.12E-07,0
8/2008,"""2008 Aug""",2.5,66.1,10.8,0.936384,0.411731,0,0.936384,,,,,,,,0,7,,,,,,,,red,9.36E-07,4.12E-07,0
9/2008,"""2008 Sep""",2.5,66,11,1.186957,0.411371,0,1.186957,,,,,,,,0,7,,,,,,,,red,1.19E-06,4.11E-07,0
10/2008,"""2008 Oct""",2.2,66,11.8,1.924976,0.411731,0,1.924976,1.924976,'rate',down',red,,,10/31/2008,1,0,2008 Oct,Two Rate Decreases in a Month:, 2.0%->1.5%->1.0%,,GOAL: Stimulate spending by making,borrowing money cheaper.,,red,1.92E-06,4.12E-07,0
11/2008,"""2008 Nov""",2,65.9,12.6,2.14592,0.410529,0,2.14592,2.14592,'qe','up',greenyellow,11/30/2008,greenyellow,11/30/2008,1,1.5,2008 Nov,START: QE Round 1: The Fed announces,it will purchase mortgage securities in hopes,of helping energize the economy,GOAL: Extra pump of adrenaline to liquidity,because banks weren't lending. They bought,the assets through banks intermediaries.,green,2.15E-06,4.11E-07,0
12/2008,"""2008 Dec""",1.8,65.8,13.6,2.259356,0.410491,0,,2.259356,'rate','down',red,,,12/31/2008,1,0,2008 Dec,Rate Decrease: 1%-0.25%,This was the low point it reached.,Japan actually went into negative interest rates.,GOAL: Stimulate spending by making,borrowing money cheaper.,,green,2.26E-06,4.10E-07,0
1/2009,"""2009 Jan""",1.7,65.7,14.2,2.041904,0.412914,0,,2.041904,,,,,,,0,7,,,,,,,,green,2.04E-06,4.13E-07,0
2/2009,"""2009 Feb""",1.8,65.8,15.2,1.952216,0.412914,0.068529,,1.952216,,,,,,,0,7,,,,,,,,green,1.95E-06,4.13E-07,6.85E-08
3/2009,"""2009 Mar""",1.8,65.6,15.8,2.103055,0.412914,0.236964,,2.103055,'qe','up',green,3/31/2009,green ,3/31/2009,1,1.5,2009 Mar,INCREASE: QE Round 1. The Fed will buy:,> Mortgage Securities: ~$70 Billion a Month,> Before the Fed's purchases were trivial,GOAL: Further increase liquidity ,,,teal,2.10E-06,4.13E-07,2.37E-07
4/2009,"""2009 Apr",1.9,65.7,15.9,2.143109,0.479039,0.367728,,2.143109,,,,,,,0,7,,,,,,,,teal,2.14E-06,4.79E-07,3.68E-07
5/2009,"""2009 May",1.8,65.7,16.5,2.130071,0.430902,0.430902,,2.130071,,,,,,,0,7,,,,,,,,teal,2.13E-06,4.31E-07,4.31E-07
6/2009,"""2009 Jun""",1.7,65.7,16.5,2.052255,0.581608,0.467114,,2.052255,,,,,,,0,7,,,,,,,,teal,2.05E-06,5.82E-07,4.67E-07
7/2009,"""2009 Jul""",1.5,65.5,16.4,2.065776,0.627146,0.544507,,2.065776,,,,,,,0,7,,,,,,,,teal,2.07E-06,6.27E-07,5.45E-07
8/2009,"""2009 Aug""",1.4,65.4,16.7,2.104575,0.671822,0.624264,,2.104575,,,,,,,0,7,,,,,,,,teal,2.10E-06,6.72E-07,6.24E-07
9/2009,"""2009 Sep""",1.5,65.1,16.7,2.191003,0.707449,0.689228,,2.191003,,,,,,,0,7,,,,,,,,teal,2.19E-06,7.07E-07,6.89E-07
10/2009,"""2009 Oct""",1.7,65,17.1,2.213202,0.709649,0.776025,,2.213202,,,,,,,0,7,,,,,,,,teal,2.21E-06,7.10E-07,7.76E-07
11/2009,"""2009 Nov""",1.7,65,17.1,2.248691,0.709649,0.854872,,2.248691,,,,,,,0,7,,,,,,,,teal,2.25E-06,7.10E-07,8.55E-07
12/2009,"""2009 Dec""",1.8,64.6,17.1,2.278896,0.709649,0.909575,,2.278896,,,,,,,0,7,,,,,,,,teal,2.28E-06,7.10E-07,9.10E-07
1/2010,"""2010 Jan""",1.6,64.8,16.7,2.293657,0.708872,0.973241,,2.293657,,,,,,,0,7,,,,,,,,teal,2.29E-06,7.09E-07,9.73E-07
2/2010,"""2010 Feb""",1.3,64.9,17,2.328458,0.708872,1.032735,2.328458,2.328458,'qe','down',teal,2/28/2010,teal,2/28/2010,1,1.5,2010 Feb,STOP: QE Round 1.,> Total Mortgage Securities increased by,$800 billion over 1 year,GOAL: The Fed hoped it's purchases were,sufficient to energize the economy,,teal,2.33E-06,7.09E-07,1.03E-06
3/2010,"""2010 Mar""",1.1,64.9,17.1,2.356901,0.708872,1.073519,2.356901,2.356901,,,,,,,0,7,,,,,,,,red,2.36E-06,7.09E-07,1.07E-06
4/2010,"""2010 Apr",0.9,65.2,17.1,2.375785,0.712258,1.099763,2.375785,,,,,,,,0,7,,,,,,,,red,2.38E-06,7.12E-07,1.10E-06
5/2010,"""2010 May",0.9,64.9,16.6,2.38285,0.712023,1.117932,2.38285,,,,,,,,0,7,,,,,,,,red,2.38E-06,7.12E-07,1.12E-06
6/2010,"""2010 Jun""",0.9,64.6,16.4,2.387303,0.712023,1.128424,2.387303,,,,,,,,0,7,,,,,,,,red,2.39E-06,7.12E-07,1.13E-06
7/2010,"""2010 Jul""",0.9,64.6,16.4,2.371834,0.71202,1.121831,2.371834,,,,,,,,0,7,,,,,,,,red,2.37E-06,7.12E-07,1.12E-06
8/2010,"""2010 Aug""",0.9,64.7,16.5,2.353703,0.717857,1.111424,2.353703,,,,,,,,0,7,,,,,,,,red,2.35E-06,7.18E-07,1.11E-06
9/2010,"""2010 Sep""",0.8,64.6,16.8,2.347291,0.743219,1.086158,2.347291,,,,,,,,0,7,,,,,,,,red,2.35E-06,7.43E-07,1.09E-06
10/2010,"""2010 Oct""",0.6,64.4,16.6,2.342413,0.767275,1.059445,2.342413,,,,,,,,0,7,,,,,,,,red,2.34E-06,7.67E-07,1.06E-06
11/2010,"""2010 Nov""",0.8,64.6,16.9,2.377209,0.823956,1.038075,2.377209,2.377209,'qe','up',greenyellow,11/30/2010,greenyellow,11/30/2010,1,1.5,2010 Nov,START: QE Round 2. The Fed will buy:,> Bonds: ~$85 Billion a Month,> Predetermined limited about of $600 billion,"GOAL: While the first round of QE helped, it ",wasn't sufficient. The Fed targeted a different,market sector.,green,2.38E-06,8.24E-07,1.04E-06
12/2010,"""2010 Dec""",0.8,64.3,16.6,2.467544,0.937566,1.001432,,2.467544,,,,,,,0,7,,,,,,,,green,2.47E-06,9.38E-07,1.00E-06
1/2011,"""2011 Jan""",1,64.2,16.2,2.479266,1.021561,0.975533,,2.479266,,,,,,,0,7,,,,,,,,green,2.48E-06,1.02E-06,9.76E-07
2/2011,"""2011 Feb""",1.1,64.1,16,2.56528,1.122726,0.958375,,2.56528,,,,,,,0,7,,,,,,,,green,2.57E-06,1.12E-06,9.58E-07
3/2011,"""2011 Mar""",1.2,64.2,15.9,2.657343,1.240411,0.938111,,2.657343,,,,,,,0,7,,,,,,,,green,2.66E-06,1.24E-06,9.38E-07
4/2011,"""2011 Apr",1.3,64.2,16.1,2.731876,1.323155,0.930565,,2.731876,,,,,,,0,7,,,,,,,,green,2.73E-06,1.32E-06,9.31E-07
5/2011,"""2011 May",1.5,64.1,15.8,2.810802,1.417325,0.922625,,2.810802,,,,,,,0,7,,,,,,,,green,2.81E-06,1.42E-06,9.23E-07
6/2011,"""2011 Jun""",1.6,64,16.1,2.903357,1.514339,0.91198,2.903357,2.903357,'qe','down',teal,6/30/2011,teal,6/30/2011,1,1.5,2011 Jun,STOP: QE Round 2,> Fed ceases asset purchase after  reaching,predetermined $600 billion total,GOAL: Stay the course with their initial plan for,$600 billion and hope it was sufficient.,,green,2.90E-06,1.51E-06,9.12E-07
7/2011,"""2011 Jul""",1.8,64,15.9,2.913147,1.541736,0.901226,2.913147,2.913147,,,,,,,0,7,,,,,,,,red,2.91E-06,1.54E-06,9.01E-07
8/2011,"""2011 Aug""",2,64.1,16.1,2.902847,1.554087,0.892475,2.902847,,,,,,,,0,7,,,,,,,,red,2.90E-06,1.55E-06,8.92E-07
9/2011,"""2011 Sep""",2,64.2,16.4,2.898716,1.568798,0.875659,2.898716,,,,,,,,0,7,,,,,,,,red,2.90E-06,1.57E-06,8.76E-07
10/2011,"""2011 Oct""",2.1,64.1,15.8,2.893323,1.57516,0.858169,2.893323,,,,,,,,0,7,,,,,,,,red,2.89E-06,1.58E-06,8.58E-07
11/2011,"""2011 Nov""",2.2,64.1,15.5,2.868717,1.572353,0.841828,2.868717,,,,,,,,0,7,,,,,,,,red,2.87E-06,1.57E-06,8.42E-07
12/2011,"""2011 Dec""",2.2,64,15.2,2.980807,1.574925,0.847756,2.980807,,,,,,,,0,7,,,,,,,,red,2.98E-06,1.57E-06,8.48E-07
1/2012,"""201""2 Jan""",2.3,63.7,15.2,2.965815,1.557618,0.846377,2.965815,,,,,,,,0,7,,,,,,,,red,2.97E-06,1.56E-06,8.46E-07
2/2012,"""201""2 Feb""",2.2,63.8,15,2.977971,1.563864,0.851789,2.977971,,,,,,,,0,7,,,,,,,,red,2.98E-06,1.56E-06,8.52E-07
3/2012,"""201""2 Mar""",2.3,63.8,14.5,2.933321,1.571722,0.845079,2.933321,,,,,,,,0,7,,,,,,,,red,2.93E-06,1.57E-06,8.45E-07
4/2012,"""201""2 Apr",2.3,63.7,14.6,2.921077,1.572232,0.860985,2.921077,,,,,,,,0,7,,,,,,,,red,2.92E-06,1.57E-06,8.61E-07
5/2012,"""201""2 May",2.3,63.7,14.7,2.895392,1.568086,0.853657,2.895392,,,,,,,,0,7,,,,,,,,red,2.90E-06,1.57E-06,8.54E-07
6/2012,"""201""2 Jun""",2.2,63.8,14.8,2.915062,1.570616,0.862674,2.915062,,,,,,,,0,7,,,,,,,,red,2.92E-06,1.57E-06,8.63E-07
7/2012,"""201""2 Jul""",2.1,63.7,14.8,2.905111,1.565823,0.865384,2.905111,,,,,,,,0,7,,,,,,,,red,2.91E-06,1.57E-06,8.65E-07
8/2012,"""201""2 Aug""",1.9,63.5,14.6,2.864529,1.557926,0.85264,2.864529,,,,,,,,0,7,,,,,,,,red,2.86E-06,1.56E-06,8.53E-07
9/2012,"""201""2 Sep""",2,63.6,14.8,2.857511,1.561398,0.847999,2.857511,2.857511,'qe','up',greenyellow,9/30/2012,greenyellow,9/30/2012,1,1.5,2012 Sep,START: QE Round 3. The Fed will buy:,> Mortage Securities: $40 Billion a Month,,EFFECT: First 2 Rounds of QE weren't enough,to increase the liquidity sufficiently.,"Stock market starts climbing, bonds fall.",green,2.86E-06,1.56E-06,8.48E-07
10/2012,"""201""2 Oct""",2,63.8,14.4,2.890073,1.569377,0.868219,,2.890073,,,,,,,0,7,,,,,,,,green,2.89E-06,1.57E-06,8.68E-07
11/2012,"""201""2 Nov""",1.9,63.6,14.4,2.902146,1.560596,0.893547,,2.902146,,,,,,,0,7,,,,,,,,green,2.90E-06,1.56E-06,8.94E-07
12/2012,"""201""2 Dec""",1.9,63.7,14.4,2.966249,1.570986,0.941054,,2.966249,'qe','up',green,12/31/2012,green,12/31/2012,1,1.5,2012 Dec,INCREASE: QE Round 3. The Fed will buy:,> Bonds: $45 Billion a Month,> Mortgage Securites: Remain at $40 Billion,GOAL: The Fed hopes that this can further help,spur inflation and reduce unemployment,,teal,2.97E-06,1.57E-06,9.41E-07
1/2013,"""2013 Jan""",1.9,63.6,14.5,3.050116,1.616686,0.968245,,3.050116,,,,,,,0,7,,,,,,,,teal,3.05E-06,1.62E-06,9.68E-07
2/2013,"""2013 Feb""",2,63.4,14.4,3.138708,1.656638,1.025649,,3.138708,,,,,,,0,7,,,,,,,,teal,3.14E-06,1.66E-06,1.03E-06
3/2013,"""2013 Mar""",1.9,63.3,13.8,3.248558,1.69867,1.079379,,3.248558,,,,,,,0,7,,,,,,,,teal,3.25E-06,1.70E-06,1.08E-06
4/2013,"""2013 Apr",1.7,63.4,14,3.355606,1.739263,1.13663,,3.355606,,,,,,,0,7,,,,,,,,teal,3.36E-06,1.74E-06,1.14E-06
5/2013,"""2013 May",1.7,63.4,13.8,3.437196,1.787525,1.175093,,3.437196,'future',,yellow,,,5/31/2013,1,3,2013 May,PREDICTION!,The Fed announces that it believes that will ,starting unwinding QE in the future.,EFFECT: TAPER TANTRUM! Bond investors,"get pessimistic, stock investors get optimistic.",Markets obsess about when tapering will occur.,teal,3.44E-06,1.79E-06,1.18E-06
6/2013,"""2013 Jun""",1.6,63.4,14.2,3.527966,1.827642,1.219174,,3.527966,,,,,,,0,7,,,,,,,,teal,3.53E-06,1.83E-06,1.22E-06
7/2013,"""2013 Jul""",1.7,63.3,13.8,3.601572,1.866698,1.252151,,3.601572,,,,,,,0,7,,,,,,,,teal,3.60E-06,1.87E-06,1.25E-06
8/2013,"""2013 Aug""",1.8,63.3,13.6,3.687139,1.91705,1.298177,,3.687139,,,,,,,0,7,,,,,,,,teal,3.69E-06,1.92E-06,1.30E-06
9/2013,"""2013 Sep""",1.7,63.3,13.7,3.780631,1.956248,1.349949,,3.780631,,,,,,,0,7,,,,,,,,teal,3.78E-06,1.96E-06,1.35E-06
10/2013,"""2013 Oct""",1.7,62.8,13.6,3.881436,2.010481,1.394674,,3.881436,,,,,,,0,7,,,,,,,,teal,3.88E-06,2.01E-06,1.39E-06
11/2013,"""2013 Nov""",1.7,63,13.1,3.967763,2.054754,1.443747,,3.967763,,,,,,,0,7,,,,,,,,teal,3.97E-06,2.05E-06,1.44E-06
12/2013,"""2013 Dec""",1.7,62.9,13.1,4.071143,2.099952,1.497105,,4.071143,qe','down',teal,12/31/2013,teal,12/31/2013,1,1.5,2013 Dec,TAPER: QE Round 3,> The Fed finally starts tapering purchases by ,$10 billion a month,"EFFECT: Against common sense, bond rates",move down after rising significantly on fear,,teal,4.07E-06,2.10E-06,1.50E-06
1/2014,"""2014 Jan""",1.6,62.9,12.7,4.144381,2.131637,1.536375,,4.144381,,,,,,,0,7,,,,,,,,green,4.14E-06,2.13E-06,1.54E-06
2/2014,"""2014 Feb""",1.6,62.9,12.6,4.203096,2.166119,1.574316,,4.203096,,,,,,,0,7,,,,,,,,green,4.20E-06,2.17E-06,1.57E-06
3/2014,"""2014 Mar""",1.7,63.1,12.6,4.272822,2.200551,1.607329,,4.272822,,,,,,,0,7,,,,,,,,green,4.27E-06,2.20E-06,1.61E-06
4/2014,"""2014 Apr",1.8,62.8,12.3,4.332083,2.228502,1.634315,,4.332083,,,,,,,0,7,,,,,,,,green,4.33E-06,2.23E-06,1.63E-06
5/2014,"""2014 May",2,62.8,12.1,4.370696,2.257287,1.653589,,4.370696,,,,,,,0,7,,,,,,,,green,4.37E-06,2.26E-06,1.65E-06
6/2014,"""2014 Jun""",1.9,62.8,12,4.41828,2.281913,1.67147,,4.41828,,,,,,,0,7,,,,,,,,green,4.42E-06,2.28E-06,1.67E-06
7/2014,"""2014 Jul""",1.9,62.9,12.2,4.449791,2.305328,1.675777,,4.449791,,,,,,,0,7,,,,,,,,green,4.45E-06,2.31E-06,1.68E-06
8/2014,"""2014 Aug""",1.7,62.9,12,4.461645,2.319393,1.684285,,4.461645,,,,,,,0,7,,,,,,,,green,4.46E-06,2.32E-06,1.68E-06
9/2014,"""2014 Sep""",1.7,62.8,11.8,4.502665,2.332304,1.708147,4.502665,4.502665,ge',end',teal,9/30/2014,teal,9/30/2014,1,1.5,2014 Sep,STOP: QE Round 3,> Fed ceases asset purchase after months of,slowing monthly purchases by $10 billion,EFFECT: Stock market goes relatively flat for ,approximately 1.5 years,,green,4.50E-06,2.33E-06,1.71E-06
10/2014,"""2014 Oct""",1.8,62.9,11.5,4.535858,2.345835,1.723502,4.535858,4.535858,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.72E-06
11/2014,"""2014 Nov""",1.7,62.9,11.4,4.537576,2.346713,1.736861,4.537576,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.74E-06
12/2014,"""2014 Dec""",1.6,62.7,11.2,4.555279,2.346712,1.749822,4.555279,,future',,yellow,,,12/31/2014,1,3,2014 Dec,PREDICTION!,The Fed announces that it believes it will raise,interest rates in the future,EFFECT: This had minimal effect on markets,,,red,4.56E-06,2.35E-06,1.75E-06
1/2015,"""2015 Jan""",1.6,62.9,11.3,4.551672,2.346712,1.745524,4.551672,,,,,,,,0,7,,,,,,,,red,4.55E-06,2.35E-06,1.75E-06
2/2015,"""2015 Feb""",1.7,62.7,11,4.542285,2.346711,1.750115,4.542285,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.75E-06
3/2015,"""2015 Mar""",1.8,62.7,10.9,4.535516,2.34671,1.741251,4.535516,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.74E-06
4/2015,"""2015 Apr",1.8,62.8,10.8,4.526909,2.346709,1.72936,4.526909,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.35E-06,1.73E-06
5/2015,"""2015 May",1.7,62.9,10.7,4.520885,2.346643,1.733239,4.520885,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.35E-06,1.73E-06
6/2015,"""2015 Jun""",1.8,62.6,10.5,4.543142,2.346642,1.749981,4.543142,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.75E-06
7/2015,"""2015 Jul""",1.8,62.6,10.3,4.539431,2.346641,1.743198,4.539431,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.74E-06
8/2015,"""2015 Aug""",1.8,62.6,10.2,4.530174,2.346641,1.745761,4.530174,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.35E-06,1.75E-06
9/2015,"""2015 Sep""",1.9,62.4,10,4.539952,2.34664,1.750467,4.539952,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.75E-06
10/2015,"""2015 Oct""",1.9,62.5,9.8,4.541689,2.346639,1.750513,4.541689,,,,,,,,0,7,,,,,,,,red,4.54E-06,2.35E-06,1.75E-06
11/2015,"""2015 Nov""",2,62.5,9.9,4.534451,2.346639,1.755338,4.534451,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.35E-06,1.76E-06
12/2015,"""2015 Dec""",2.1,62.7,9.9,4.538197,2.346639,1.753365,4.538197,,'rate','up',red,,,12/31/2015,1,0,2015 Dec,Rate Increase: 0.25%->0.5%,This is momentous in that it's the first increase,in almost a decade,GOAL: Return to a normal interest rate,"economy, perhaps in worries of the potential",of inflation or bubbles in certain assets,red,4.54E-06,2.35E-06,1.75E-06
1/2016,"""2016 Jan""",2.2,62.7,9.9,4.534891,2.346639,1.75075,4.534891,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.35E-06,1.75E-06
2/2016,"""2016 Feb""",2.3,62.9,9.8,4.532012,2.346671,1.758567,4.532012,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.35E-06,1.76E-06
3/2016,"""2016 Mar""",2.2,63,9.8,4.529065,2.344518,1.75449,4.529065,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.34E-06,1.75E-06
4/2016,"""2016 Apr",2.1,62.8,9.7,4.529485,2.342292,1.753287,4.529485,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.34E-06,1.75E-06
5/2016,"""2016 May",2.2,62.6,9.7,4.516057,2.342263,1.751154,4.516057,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.34E-06,1.75E-06
6/2016,"""2016 Jun""",2.2,62.7,9.6,4.52151,2.339286,1.752101,4.52151,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.34E-06,1.75E-06
7/2016,"""2016 Jul""",2.2,62.8,9.7,4.520006,2.342204,1.750346,4.520006,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.34E-06,1.75E-06
8/2016,"""2016 Aug""",2.3,62.8,9.7,4.52351,2.342604,1.763047,4.52351,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.34E-06,1.76E-06
9/2016,"""2016 Sep""",2.2,62.9,9.7,4.510555,2.341647,1.748606,4.510555,,,,,,,,0,7,,,,,,,,red,4.51E-06,2.34E-06,1.75E-06
10/2016,"""2016 Oct""",2.1,62.8,9.5,4.515412,2.340976,1.749656,4.515412,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.34E-06,1.75E-06
11/2016,"""2016 Nov""",2.1,62.6,9.3,4.506728,2.340674,1.754607,4.506728,,,,,,,,0,7,,,,,,,,red,4.51E-06,2.34E-06,1.75E-06
12/2016,"""2016 Dec""",2.2,62.7,9.2,4.511369,2.339103,1.75362,4.511369,,'rate','up',red,,,12/31/2016,1,0,2016 Dec,Rate Increase: 0.5%->0.75%,,,GOAL: Return to a normal interest rate,"economy, keeping in mind that inflation",was still below their target rate,red,4.51E-06,2.34E-06,1.75E-06
1/2017,"""2017 Jan""",2.3,62.9,9.4,4.503849,2.342206,1.747998,4.503849,,,,,,,,0,7,,,,,,,,red,4.50E-06,2.34E-06,1.75E-06
2/2017,"""2017 Feb""",2.2,63,9.2,4.508393,2.341382,1.76722,4.508393,,,,,,,,0,7,,,,,,,,red,4.51E-06,2.34E-06,1.77E-06
3/2017,"""2017 Mar""",2,63,8.9,4.52157,2.340611,1.773998,4.52157,,'rate','up',red,,,3/31/2017,1,0,2017 Mar,Rate Increase: 0.75%->1%,,,GOAL: Cautiously return to a normal interest,economy,,red,4.52E-06,2.34E-06,1.77E-06
4/2017,"""2017 Apr",1.9,62.9,8.6,4.525009,2.33974,1.776263,4.525009,,,,,,,,0,7,,,,,,,,red,4.53E-06,2.34E-06,1.78E-06
5/2017,"""2017 May",1.7,62.7,8.4,4.520311,2.33954,1.783274,4.520311,,'rate','up',red,,,5/31/2017,1,0,2016 May,Rate Increase: 1.0%->1.25%,,,GOAL: Cautiously return to a normal interest,economy,,red,4.52E-06,2.34E-06,1.78E-06
6/2017,"""2017 Jun""",1.7,62.8,8.6,4.516885,2.338216,1.776569,4.516885,,,,,,,,0,7,,,,,,,,red,4.52E-06,2.34E-06,1.78E-06
